Title,Skill,Title,Hot Technology,
Marketing Managers,MarketSharp,Customer relationship management CRM software,N,
Marketing Managers,McAfee,Transaction security and virus protection software,Y,
Marketing Managers,Microsoft Access,Data base user interface and query software,Y,
Marketing Managers,Microsoft Azure,Development environment software,Y,
Marketing Managers,Microsoft Dynamics,Enterprise resource planning ERP software,Y,
Marketing Managers,Microsoft Excel,Spreadsheet software,Y,
Marketing Managers,Microsoft Office,Office suite software,Y,
Marketing Managers,Microsoft Outlook,Electronic mail software,Y,
Marketing Managers,Microsoft PowerPoint,Presentation software,Y,
Marketing Managers,Microsoft Project,Project management software,Y,
Marketing Managers,Microsoft Publisher,Desktop publishing software,N,
Marketing Managers,Microsoft SharePoint,Project management software,Y,
Marketing Managers,Microsoft SQL Server,Data base user interface and query software,Y,
Marketing Managers,Microsoft Visio,Graphics or photo imaging software,Y,
Marketing Managers,Microsoft Visual Basic,Development environment software,Y,
Marketing Managers,Microsoft Visual Basic Scripting Edition VBScript,Development environment software,Y,
Marketing Managers,Microsoft Word,Word processing software,Y,
Marketing Managers,MicroStrategy,Business intelligence and data analysis software,Y,
Marketing Managers,Minitab,Analytical or scientific software,Y,
Marketing Managers,MySQL,Data base user interface and query software,Y,
Marketing Managers,Nedstat Sitestat,Analytical or scientific software,N,
Marketing Managers,NetSuite ERP,Enterprise resource planning ERP software,Y,
Marketing Managers,NoSQL,Data base management system software,Y,
Marketing Managers,Online advertising reporting software,Analytical or scientific software,N,
Marketing Managers,Oracle Beehive,Expert system software,N,
Marketing Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software,Y,
Marketing Managers,Oracle E-Business Suite Financials,Financial analysis software,N,
Marketing Managers,Oracle Eloqua,Customer relationship management CRM software,N,
Marketing Managers,Oracle Fusion Applications,Enterprise resource planning ERP software,Y,
Marketing Managers,Oracle Hyperion,Enterprise resource planning ERP software,Y,
Marketing Managers,Oracle JavaServer Pages JSP,Web platform development software,Y,
Marketing Managers,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,
Marketing Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software,Y,
Marketing Managers,Oracle PL/SQL,Data base management system software,Y,
Marketing Managers,Oracle Siebel Server Sync,Customer relationship management CRM software,N,
Marketing Managers,PHP: Hypertext Preprocessor,Web platform development software,Y,
Marketing Managers,Python,Object or component oriented development software,Y,
Marketing Managers,QAD Marketing Automation,Customer relationship management CRM software,N,
Marketing Managers,Qlik Tech QlikView,Business intelligence and data analysis software,Y,
Marketing Managers,R,Object or component oriented development software,Y,
Marketing Managers,Ruby,Development environment software,Y,
Marketing Managers,Ruby on Rails,Web platform development software,Y,
Marketing Managers,Sage SalesLogix,Customer relationship management CRM software,N,
Marketing Managers,Salesforce software,Customer relationship management CRM software,Y,
Marketing Managers,Salesforce.com Salesforce CRM,Customer relationship management CRM software,N,
Marketing Managers,SAP,Enterprise resource planning ERP software,Y,
Marketing Managers,SAP Business Objects,Enterprise resource planning ERP software,Y,
Marketing Managers,SAS,Analytical or scientific software,Y,
Marketing Managers,Splunk Enterprise,Enterprise system management software,Y,
Marketing Managers,StataCorp Stata,Analytical or scientific software,N,
Marketing Managers,Structured query language SQL,Data base user interface and query software,Y,
Marketing Managers,Swift,Object or component oriented development software,Y,
Marketing Managers,Symantec,Transaction security and virus protection software,Y,
Marketing Managers,Tableau,Business intelligence and data analysis software,Y,
Marketing Managers,Tax software,Accounting software,Y,
Marketing Managers,Teradata Database,Data base management system software,Y,
Marketing Managers,The MathWorks MATLAB,Analytical or scientific software,Y,
Marketing Managers,Web browser software,Internet browser software,N,
Marketing Managers,Yardi,Data base user interface and query software,Y,
Marketing Managers,YouTube,Video creation and editing software,Y,
Sales Managers,Adobe Systems Adobe Acrobat,Document management software,Y,
Sales Managers,Adobe Systems Adobe ActionScript,Development environment software,N,
Sales Managers,Adobe Systems Adobe Creative Cloud,Graphics or photo imaging software,Y,
Sales Managers,Adobe Systems Adobe Flash,Graphics or photo imaging software,N,
Sales Managers,Avidian Technologies Prophet,Customer relationship management CRM software,N,
Sales Managers,Bentley MicroStation,Computer aided design CAD software,Y,
Sales Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,Y,
Sales Managers,Contact management software,Calendar and scheduling software,N,
Sales Managers,Data entry software,Data base user interface and query software,Y,
Sales Managers,Delphi Discovery,Financial analysis software,N,
